vcfID	R3.LN.BLUE   	R3.LN.BLUP
C005	3.885105763	3.992392436
C008	4.175402947	4.077257415
C010	4.042040733	4.026680352
C020	3.53183019	3.938958828
C025	4.243065029	4.084013104
C030	4.127040733	4.052936562
C040	4.485105763	4.101988306
C053	3.790402947	3.95833223
C055	3.938065029	3.989799646
C056	3.848065029	3.961998953
C066	3.94183019	4.013849339
C083	4.505402947	4.179193287
C103	4.305105763	4.069109545
C104	3.968975704	4.015393683
C106	3.953065029	3.994433094
C125	3.901024296	3.997348725
C130	3.910402947	3.99539982
C135	3.938065029	3.989799646
C151	3.951427243	4.003309118
C193	3.615105763	3.943074294
C194	4.031024296	4.021094497
C200	3.917040733	3.988068279
C207	4.003065029	4.009877924
C210	4.105402947	4.055634654
C212	3.828975704	3.989821314
C243	4.181024296	4.048493464
C251	4.183065029	4.065479309
C260	3.867040733	3.97262345
C268	3.817040733	3.957178621
C275	4.291024296	4.06858604
C276	3.960402947	4.010844649
C289	4.022040733	4.02050242
C296	4.32183019	4.083260057
C300	4.282040733	4.100815532
C306	4.271427243	4.102156025
C316	3.928975704	4.008087292
C332	3.963065029	3.99752206
C333	4.203065029	4.07165724
C347	4.185402947	4.080346381
C354	4.133065029	4.050034479
C360	4.195105763	4.049016969
C377	4.08183019	4.039421709
C378	4.167040733	4.065292425
C385	3.961427243	4.006398084
C388	4.212040733	4.079192771
C393	4.241427243	4.092889128
C413	4.037040733	4.025135869
C415	4.051427243	4.034198777
C418	4.003065029	4.009877924
C434	3.985402947	4.018567064
C439	3.746427243	3.939985318
C448	3.912040733	3.986523796
C451	3.825402947	3.96914361
C461	3.812040733	3.955634138
C463	3.61183019	3.953571611
C475	3.651024296	3.951683779
C487	4.181427243	4.074355332
C492	3.94183019	4.013849339
C508	3.92183019	4.010196144
C517	4.027040733	4.022046903
C520	3.47183019	3.927999241
C530	4.021024296	4.019267899
C536	4.075105763	4.027097795
C543	4.56183019	4.127098405
C567	3.858065029	3.965087919
