Genotype Parent1 Parent2
C268 K120-1-1-1-1-1-2-1 wh08045
C200 wh07166R UFI2EDbt1-1
C347 I94-1-1-1-1-1-1-1 wuh09153i
C210 wuh09191i UFI2EDbt1-1
C193 I237-1-2-1-1-1-1-1 wh10046R
C388 Wh01001 K113-2-1-2-1-1
C289 wuh12039i K169-1-1-1-2-2
C212 wuh12027i UFI2EDbt1-1
C413 L25-1-1-1-1-1 Wh01001
C040 I58-1-2-2-1-1-1 wuh09153i
C053 K115-1-1-1-1-1-1-1-1B-1 wh10173V
C492 wuh09191i I112-1-1-2-1-1-1-
C448 wuh09153i K43-1-1-1-1-1-1-1
C276 wh10006R K120-1-1-1-1-1-2-1
C517 N38-2-1-1-1-1-1-1 wuh12027i
C010 N99-1-1-1-1-1-1-1 Wh01001
C316 K164-1-1-1-1-1 wh07061b
C104 I136-1-1-1-1-1 wuh12039i
C451 L48-1-1-1-1-1 wh14209N
C190 I237-1-2-1-1-1-1-1 wh10057R
C536 UFI9EC wh10035R
C066 wh10006R K115-1-1-1-1-1-1-1-1B-1
C461 wh08045 L48-1-1-1-1-1
C378 M31-1-1-1-1-1-1 wh14203N
C260 K120-1-1-1-1-1-2-1 wh09061
C083 wuh12039i K15-1(X9)
C008 N99-1-1-1-1-1-1-1 wh12004
C130 K127-1-1-1-2-1-1-1-1 Wh14201N
C434 K43-1-1-1-1-1-1-1 wh12005
C300 K169-1-1-1-2-2 wuh12027i
C543 UFI9EC wh11005
C360 wuh12039i M31-1-1-1-1-1-1
C030 wh10173V I58-1-2-2-1-1-1
C146 I31-1-1-1-2-1-1 wh10173V
C306 K164-1-1-1-1-1 wh12005
C103 I136-1-1-1-1-1 wh12004
C530 wuh12039i UFI9EC
C207 wh08114 UFI2EDbt1-1
C354 M31-1-1-1-1-1-1 wh09061
C333 I94-1-1-1-1-1-1-1 wh11001
C296 K169-1-1-1-2-2 wh10035R
C025 wh10057R I58-1-2-2-1-1-1
C415 L25-1-1-1-1-1 Wh14201N
C385 K113-2-1-2-1-1 wh10173V
C275 K120-1-1-1-1-1-2-1 wuh09191i
C243 L108-1-1-1-1-1-1 Wh01001
C194 I237-1-2-1-1-1-1-1 wuh09191i
C377 M31-1-1-1-1-1-1 wh14101V
C332 I94-1-1-1-1-1-1-1 wh12005
C055 wuh12039i K115-1-1-1-1-1-1-1-1B-1
C251 wh10006R L108-1-1-1-1-1-1
C135 wuh09153i K127-1-1-1-2-1-1-1-1
C567 wh14101V I31-1-1-1-2-1-1
C487 I112-1-1-2-1-1-1- Wh14201N
C151 I31-1-1-1-2-1-1 Wh14201N
C056 Wh01001 K115-1-1-1-1-1-1-1-1B-1
C125 wh10173V K127-1-1-1-2-1-1-1-1
C106 I136-1-1-1-1-1 wh08045
C439 K43-1-1-1-1-1-1-1 wuh12039i
C418 L25-1-1-1-1-1 wh10046R
C463 wh08114 L48-1-1-1-1-1
C020 N99-1-1-1-1-1-1-1 wh09141R
C508 N38-2-1-1-1-1-1-1 wh08045
C005 N99-1-1-1-1-1-1-1 wh11001
C475 L48-1-1-1-1-1 wh13041
C393 K113-2-1-2-1-1 wh10046R
C246 wh08114 L108-1-1-1-1-1-1
C520 N38-2-1-1-1-1-1-1 wh11005
